Purushottam Shivaram,Rege,male,NULL ,https://www.worldcat.org/identities/lccn-n89297450,NULL 
Apa,Pant,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2777720,https://www.worldcat.org/identities/lccn-n50050211,NULL 
Mulk Raj,Anand,male,https://www.wikidata.org/wiki/Special:EntityPage/Q732434,https://www.worldcat.org/identities/lccn-n80032712,NULL 
Chaman,Nahal,male,https://www.wikidata.org/wiki/Special:EntityPage/Q16591805,https://www.worldcat.org/identities/lccn-n50041353,NULL 
Anita,Desai,female,https://www.wikidata.org/wiki/Special:EntityPage/Q268495,https://www.worldcat.org/identities/lccn-n50001608,NULL 
Bhagwan S.,Gidwani,male,NULL ,http://worldcat.org/identities/lccn-n89268827/,NULL 
Nishi,Khanolkar,NULL ,NULL ,NULL ,NULL 
Jug,Suraiya,male,https://www.wikidata.org/wiki/Special:EntityPage/Q6304764,NULL ,NULL 
Nargis,Dalal,female,NULL ,NULL ,NULL 
Ahmed M.,Akhtar,male,NULL ,NULL ,NULL 
Shanta Rameshwar,Rao,female,NULL ,NULL ,NULL 
Rama,Sarma,male,NULL ,NULL ,http://www.profmvramasarma.in/
S.P.,Mani,NULL ,NULL ,NULL ,NULL 
Nayantara,Sahgal,female,https://www.wikidata.org/wiki/Special:EntityPage/Q448399,https://www.worldcat.org/identities/lccn-n79064591,NULL 
Meenakshi,Mukherjee,female,https://www.wikidata.org/wiki/Special:EntityPage/Q17072916,http://worldcat.org/identities/lccn-n50004571/,NULL 
S.B,Capoor,NULL ,NULL ,NULL ,NULL 
Jayawant,Dalvi,male,https://www.wikidata.org/wiki/Special:EntityPage/Q6168020,https://www.worldcat.org/identities/lccn-n82036124,NULL 
Bhabhani Sen,Gupta,male,NULL ,http://worldcat.org/identities/lccn-n88000348/,NULL 
Veena,Nagpal,female,NULL ,"http://worldcat.org/identities/np-nagpal,%20veena$1942/",http://www.veenanagpal-author.com/
Dilip,Hiro,male,https://www.wikidata.org/wiki/Q5276802,https://www.worldcat.org/identities/lccn-n50034754,NULL 
Timeri,Murari,male,https://www.wikidata.org/wiki/Special:EntityPage/Q16105804,https://www.worldcat.org/identities/lccn-n79059796,NULL 
Kamala,Markandaya,female,https://www.wikidata.org/wiki/Special:EntityPage/Q542118,https://www.worldcat.org/identities/lccn-n50040712,https://www.britannica.com/biography/Kamala-Markandaya
Vinayaka Krishna,Gokak,male,NULL ,https://www.worldcat.org/identities/lccn-n50034348,NULL 
Rajagopal,Parthasarthy,male,https://www.wikidata.org/wiki/Special:EntityPage/Q7273910,https://www.worldcat.org/identities/lccn-n50050585,NULL 
Padma,Hejmadi,female,NULL ,http://worldcat.org/identities/lccn-n86119313/,NULL 
Buddhadeva,Bose,male,https://www.wikidata.org/wiki/Special:EntityPage/Q155114,https://www.worldcat.org/identities/lccn-n81114530,NULL 
